"[  101  2375 12088  2024  2153  3554  2058 15827  1999  1996 13072 10162
  6870  9277   102     0     0     0     0     0]","[ 101 3374 1010 2074 2288 2115 3793 1012  102    0    0    0    0    0
    0    0    0    0    0    0]","[ 101 1037 2610 2158 2766 2033 2058 1998 2056 4981 1012  102    0    0
    0    0    0    0    0    0]","[  101  2129  1045  2179  2870  1998  2026  2451  1999  1996  1005 21766
  4502  5313  1005  1055  8011  2679  1005   102]","[ 101 2155 2372 2954 2005 2157 2000 3942 9932 2989 9064  102    0    0
    0    0    0    0    0    0]","[ 101 2339 2106 2017 2718 2115 5798 9850 2007 1037 8691 1029  102    0
    0    0    0    0    0    0]","[  101  2410  1056 28394  3215  2008  6011  6245  2003  1996  5025  5409
   102     0     0     0     0     0     0     0]","[  101 21248  2096  5152  3310  2007  2049  2219  2275  1997 26186   102
     0     0     0     0     0     0     0     0]","[  101  2079  3501  2758  2009  2097  2202 23702  4335  2000  4259  2457
   102     0     0     0     0     0     0     0]","[  101  1045  2031  4748 14945  2129  2079  1045 12200  2000  4748  2549
  2243  1029   102     0     0     0     0     0]"
[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[ 101 2024 2057 2145 2006 2005 2197 2305 1029  102    0    0    0    0
    0    0    0    0    0    0]","[  101  2061  1045  2056 25806   999   102     0     0     0     0     0
     0     0     0     0     0     0     0     0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[ 101 2138 2017 2056 2009 2001 9044 9850  999  102    0    0    0    0
    0    0    0    0    0    0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]"
[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[ 101 1045 2663 1998 5225 2125  102    0    0    0    0    0    0    0
    0    0    0    0    0    0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]"
[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]","[101 102   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0]"
